Age,Feed Intake,Weight NA,Weight ,CFI
67,1.122,24,24,1.122
68,1.207,NA,24,2.329
69,1.366,NA,24,3.695
70,1.371,NA,24,5.066
71,1.557,NA,24,6.623
72,1.538,NA,24,8.161
73,1.482,NA,24,9.643
74,1.517,25,25,11.16
75,1.719,NA,25,12.879
76,1.242,NA,25,14.121
77,1.694,NA,25,15.815
78,1.594,NA,25,17.409
79,1.789,NA,25,19.198
80,1.953,NA,25,21.151
81,1.394,31,31,22.545
82,1.784,NA,31,24.329
83,2.026,NA,31,26.355
84,1.84,NA,31,28.195
85,1.81,NA,31,30.005
86,1.928,NA,31,31.933
87,1.794,NA,31,33.727
88,1.54,36,36,35.267
89,2.125,NA,36,37.392
90,2.118,NA,36,39.51
91,2.168,NA,36,41.678
92,1.59,NA,36,43.268
93,2.12,NA,36,45.388
94,2.04,NA,36,47.428
95,1.924,NA,36,49.352
96,1.75,NA,36,51.102
97,2.015,NA,36,53.117
98,1.936,NA,36,55.053
99,1.937,NA,36,56.99
100,1.812,NA,36,58.802
101,2.21,NA,36,61.012
102,1.85,41,41,62.862
103,2.049,NA,41,64.911
104,1.667,NA,41,66.578
105,2.07,NA,41,68.648
106,1.76,NA,41,70.408
107,1.506,NA,41,71.914
108,1.235,NA,41,73.149
109,0.726,46,46,73.875
110,1.204,NA,46,75.079
111,1.095,NA,46,76.174
112,1.122,NA,46,77.296
113,1.48,NA,46,78.776
114,1.499,NA,46,80.275
115,1.43,NA,46,81.705
116,1.675,51,51,83.38
117,1.193,NA,51,84.573
118,1.261,NA,51,85.834
119,1.724,NA,51,87.558
120,2.195,NA,51,89.753
121,1.994,NA,51,91.747
122,2.106,NA,51,93.853
123,2.21,57,57,96.063
124,2.327,NA,57,98.39
125,2.013,NA,57,100.403
126,2.185,NA,57,102.588
127,2.239,NA,57,104.827
128,1.703,NA,57,106.53
129,1.696,NA,57,108.226
130,2.281,NA,57,110.507
131,2.81,62,62,113.317
132,1.881,NA,62,115.198
133,2.554,NA,62,117.752
134,2.283,NA,62,120.035
135,1.771,NA,62,121.806
136,2.62,NA,62,124.426
137,2.435,NA,62,126.861
138,2.254,69,69,129.115
139,2.121,NA,69,131.236
140,2.063,NA,69,133.299
141,2.622,NA,69,135.921
142,2.272,NA,69,138.193
143,2.444,NA,69,140.637
144,2.456,73,73,143.093
145,2.743,NA,73,145.836
146,2.565,NA,73,148.401
147,2.077,NA,73,150.478
148,2.634,NA,73,153.112
149,2.188,NA,73,155.3
150,3.143,NA,73,158.443
151,2.44,80,80,160.883
152,2.44,NA,80,163.323
153,2.088,NA,80,165.411
154,3.259,NA,80,168.67
155,2.013,NA,80,170.683
156,1.949,NA,80,172.632
157,2.729,NA,80,175.361
158,1.86,84,84,177.221
159,2.56,NA,84,179.781
160,2.256,NA,84,182.037
161,2.333,NA,84,184.37
162,2.536,NA,84,186.906
163,2.665,NA,84,189.571
164,1.623,NA,84,191.194
165,2.558,90,90,193.752
166,1.429,NA,90,195.181
167,2.576,NA,90,197.757
168,2.71,NA,90,200.467
169,1.871,NA,90,202.338
170,2.728,NA,90,205.066
171,3.117,NA,90,208.183
172,2.422,96,96,210.605
173,2.682,NA,96,213.287
174,2.92,NA,96,216.207
175,3.051,NA,96,219.258
176,2.483,NA,96,221.741
177,0.373,NA,96,222.114
178,2.123,NA,96,224.237
179,2.373,102,102,226.61
180,3.127,NA,102,229.737
181,2.833,NA,102,232.57
182,1.944,NA,102,234.514
183,2.375,NA,102,236.889
184,2.839,NA,102,239.728
185,3.043,NA,102,242.771
186,1.143,108,108,243.914
187,0.929,NA,108,244.843
188,2.991,NA,108,247.834
189,2.532,NA,108,250.366
190,2.048,NA,108,252.414
191,2.277,NA,108,254.691
192,1.895,NA,108,256.586
193,2.059,111,111,258.645
194,1.947,NA,111,260.592
195,2.096,NA,111,262.688
196,1.17,NA,111,263.858
197,1.313,NA,111,265.171
198,1.508,NA,111,266.679
199,1.169,NA,111,267.848
200,1.24,114,114,269.088
201,0.972,NA,114,270.06
202,1.008,NA,114,271.068
203,1.439,NA,114,272.507
204,1.236,NA,114,273.743
205,1.377,NA,114,275.12
206,2.099,NA,114,277.219
207,0.632,119,119,277.851
208,2.932,NA,119,280.783
209,0.012,NA,119,280.795
