Age,Feed Intake,Weight NA,Weight,CFI
67,1.893,25,25,1.893
68,2.275,NA,25,4.168
69,1.375,NA,25,5.543
70,1.462,NA,25,7.005
71,1.233,NA,25,8.238
72,2.27,NA,25,10.508
73,2.171,NA,25,12.679
74,1.833,28,28,14.512
75,2.677,NA,28,17.189
76,2.182,NA,28,19.371
77,2.611,NA,28,21.982
78,1.534,NA,28,23.516
79,1.994,NA,28,25.51
80,2.231,NA,28,27.741
81,1.365,33,33,29.106
82,1.938,NA,33,31.044
83,1.495,NA,33,32.539
84,2.292,NA,33,34.831
85,1.441,NA,33,36.272
86,1.882,NA,33,38.154
87,3.056,NA,33,41.21
88,1.967,39,39,43.177
89,2.458,NA,39,45.635
90,1.817,NA,39,47.452
91,1.366,NA,39,48.818
92,2.712,NA,39,51.53
93,2.546,NA,39,54.076
94,1.683,NA,39,55.759
95,1.704,NA,39,57.463
96,2.593,NA,39,60.056
97,1.911,NA,39,61.967
98,2.366,NA,39,64.333
99,3.1,NA,39,67.433
100,2.106,NA,39,69.539
101,3.566,NA,39,73.105
102,3.263,51,51,76.368
103,3.17,NA,51,79.538
104,2.677,NA,51,82.215
105,2.445,NA,51,84.66
106,3.006,NA,51,87.666
107,3.496,NA,51,91.162
108,3.084,NA,51,94.246
109,2.382,55,55,96.628
110,2.772,NA,55,99.4
111,2.624,NA,55,102.024
112,2.681,NA,55,104.705
113,1.618,NA,55,106.323
114,1.883,NA,55,108.206
115,2.122,NA,55,110.328
116,2,60,60,112.328
117,1.568,NA,60,113.896
118,1.615,NA,60,115.511
119,2.162,NA,60,117.673
120,1.264,NA,60,118.937
121,1.827,NA,60,120.764
122,1.954,NA,60,122.718
123,1.541,66,66,124.259
124,2.042,NA,66,126.301
125,2.39,NA,66,128.691
126,1.42,NA,66,130.111
127,2.498,NA,66,132.609
128,2.425,NA,66,135.034
129,2.342,NA,66,137.376
130,2.34,NA,66,139.716
131,2.872,73,73,142.588
132,2.135,NA,73,144.723
133,2.766,NA,73,147.489
134,2.273,NA,73,149.762
135,2.195,NA,73,151.957
136,1.819,NA,73,153.776
137,2.333,NA,73,156.109
138,2.213,80,80,158.322
139,0.985,NA,80,159.307
140,1.464,NA,80,160.771
141,1.245,NA,80,162.016
142,2.568,NA,80,164.584
143,1.102,NA,80,165.686
144,0.791,80,80,166.477
145,1.202,NA,80,167.679
146,2.415,NA,80,170.094
147,1.772,NA,80,171.866
148,2.192,NA,80,174.058
149,2.261,NA,80,176.319
150,2.164,NA,80,178.483
151,2.234,83,83,180.717
152,2.053,NA,83,182.77
153,1.584,NA,83,184.354
154,2.223,NA,83,186.577
155,2.249,NA,83,188.826
156,4.232,NA,83,193.058
157,2.687,NA,83,195.745
158,3.234,91,91,198.979
159,2.995,NA,91,201.974
160,1.622,NA,91,203.596
161,3.342,NA,91,206.938
162,3.404,NA,91,210.342
163,3.813,NA,91,214.155
164,3.515,NA,91,217.67
165,2.252,98,98,219.922
166,3.184,NA,98,223.106
167,3.19,NA,98,226.296
168,3.453,NA,98,229.749
169,3.119,NA,98,232.868
170,3.128,NA,98,235.996
171,2.352,NA,98,238.348
172,2.617,109,109,240.965
173,3.597,NA,109,244.562
174,2.814,NA,109,247.376
175,2.293,NA,109,249.669
176,3.285,NA,109,252.954
177,1.447,NA,109,254.401
178,2.358,NA,109,256.759
179,3.063,111,111,259.822
180,2.865,NA,111,262.687
181,2.753,NA,111,265.44
182,0.863,NA,111,266.303
183,3.263,NA,111,269.566
184,4.764,NA,111,274.33
185,2.617,NA,111,276.947
186,3.57,120,120,280.517
187,4.377,NA,120,284.894
188,2.693,NA,120,287.587
189,2.796,NA,120,290.383
190,4.306,NA,120,294.689
191,3.157,NA,120,297.846
192,2.51,NA,120,300.356
193,2.366,128,128,302.722
194,2.286,NA,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
,,,128,305.008
