Age ,Feed Intake,Weight NA,Weight,CFI
67,1.352,25,25,1.352
68,1.207,NA,25,2.559
69,1.296,NA,25,3.855
70,0.749,NA,25,4.604
71,2.046,NA,25,6.65
72,1.663,NA,25,8.313
73,0.814,NA,25,9.127
74,2.047,29,29,11.174
75,2.112,NA,29,13.286
76,1.259,NA,29,14.545
77,1.338,NA,29,15.883
78,1.418,NA,29,17.301
79,2.126,NA,29,19.427
80,1.808,NA,29,21.235
81,2.041,34,34,23.276
82,2.297,NA,34,25.573
83,2.441,NA,34,28.014
84,2.471,NA,34,30.485
85,2.839,NA,34,33.324
86,2.627,NA,34,35.951
87,3.316,NA,34,39.267
88,2.922,38,38,42.189
89,3.738,NA,38,45.927
90,3.215,NA,38,49.142
91,2.675,NA,38,51.817
92,3.546,NA,38,55.363
93,3.8,NA,38,59.163
94,3.546,NA,38,62.709
95,4.821,NA,38,67.53
96,3.442,NA,38,70.972
97,2.578,NA,38,73.55
98,4.204,NA,38,77.754
99,4.082,NA,38,81.836
100,3.241,NA,38,85.077
101,2.667,NA,38,87.744
102,3.386,53,53,91.13
103,3.773,NA,53,94.903
104,1.749,NA,53,96.652
105,3.241,NA,53,99.893
106,2.544,NA,53,102.437
107,3.33,NA,53,105.767
108,2.879,NA,53,108.646
109,2.513,57,57,111.159
110,3.257,NA,57,114.416
111,3.426,NA,57,117.842
112,2.763,NA,57,120.605
113,2.945,NA,57,123.55
114,2.553,NA,57,126.103
115,2.528,NA,57,128.631
116,2.792,64,64,131.423
117,1.305,NA,64,132.728
118,1.582,NA,64,134.31
119,1.477,NA,64,135.787
120,1.491,NA,64,137.278
121,2.282,NA,64,139.56
122,2.963,NA,64,142.523
123,2.273,67,67,144.796
124,2.876,NA,67,147.672
125,2.508,NA,67,150.18
126,3.016,NA,67,153.196
127,1.98,NA,67,155.176
128,2.004,NA,67,157.18
129,3.023,NA,67,160.203
130,2.727,NA,67,162.93
131,3.681,77,77,166.611
132,2.584,NA,77,169.195
133,2.454,NA,77,171.649
134,2.505,NA,77,174.154
135,2.238,NA,77,176.392
136,2.231,NA,77,178.623
137,2.444,NA,77,181.067
138,2.934,82,82,184.001
139,1.873,NA,82,185.874
140,0.835,NA,82,186.709
141,1.643,NA,82,188.352
142,2.012,NA,82,190.364
143,0.893,NA,82,191.257
144,0.382,83,83,191.639
145,1.701,NA,83,193.34
146,0.609,NA,83,193.949
147,2.035,NA,83,195.984
148,1.757,NA,83,197.741
149,0.076,NA,83,197.817
150,1.285,NA,83,199.102
151,0.699,83,83,199.801
152,1.246,NA,83,201.047
153,2.604,NA,83,203.651
154,0.931,NA,83,204.582
155,3.465,NA,83,208.047
156,2.076,NA,83,210.123
157,3.261,NA,83,213.384
158,2.279,93,93,215.663
159,2.629,NA,93,218.292
160,3.081,NA,93,221.373
161,3.868,NA,93,225.241
162,2.639,NA,93,227.88
163,2.665,NA,93,230.545
164,1.868,NA,93,232.413
165,3.358,100,100,235.771
166,2.702,NA,100,238.473
167,4.432,NA,100,242.905
168,2.333,NA,100,245.238
169,2.344,NA,100,247.582
170,3.701,NA,100,251.283
171,1.153,NA,100,252.436
172,3.111,107,107,255.547
173,3.36,NA,107,258.907
174,2.957,NA,107,261.864
175,2.283,NA,107,264.147
176,3.508,NA,107,267.655
177,0.529,NA,107,268.184
178,1.379,NA,107,269.563
179,2.084,109,109,271.647
180,3.769,NA,109,275.416
181,0.816,NA,109,276.232
182,2.546,NA,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
,,,109,278.778
