Age ,Feed Intake,Weight NA,Weight,CFI
69,1.6,20,20,1.6
70,2.176,NA,20,3.776
71,2.216,NA,20,5.992
72,2.322,NA,20,8.314
73,1.89,NA,20,10.204
74,1.809,NA,20,12.013
75,2.488,NA,20,14.501
76,3.073,24,24,17.574
77,1.987,NA,24,19.561
78,2.222,NA,24,21.783
79,2.012,NA,24,23.795
80,2.512,NA,24,26.307
81,2.386,NA,24,28.693
82,2.467,NA,24,31.16
83,2.493,29,29,33.653
84,2.062,NA,29,35.715
85,2.49,NA,29,38.205
86,2.456,NA,29,40.661
87,2.165,NA,29,42.826
88,1.765,NA,29,44.591
89,2.947,NA,29,47.538
90,2.868,33,33,50.406
91,2.759,NA,33,53.165
92,2.511,NA,33,55.676
93,2.393,NA,33,58.069
94,2.721,NA,33,60.79
95,2.637,NA,33,63.427
96,2.427,NA,33,65.854
97,2.528,38,38,68.382
98,2.848,NA,38,71.23
99,3.443,NA,38,74.673
100,2.408,NA,38,77.081
101,2.577,NA,38,79.658
102,2.896,NA,38,82.554
103,2.322,NA,38,84.876
104,3.457,43,43,88.333
105,3.076,NA,43,91.409
106,2.671,NA,43,94.08
107,2.448,NA,43,96.528
108,3.447,NA,43,99.975
109,2.099,NA,43,102.074
110,2.732,NA,43,104.806
111,3.113,42,42,107.919
112,2.903,NA,42,110.822
113,2.589,NA,42,113.411
114,4.268,NA,42,117.679
115,2.963,NA,42,120.642
116,2.743,NA,42,123.385
117,3.067,NA,42,126.452
118,1.43,46,46,127.882
119,1.859,NA,46,129.741
120,1.36,NA,46,131.101
121,1.292,NA,46,132.393
122,1.153,NA,46,133.546
123,1.699,NA,46,135.245
124,2.346,NA,46,137.591
125,2.205,52,52,139.796
126,1.279,NA,52,141.075
127,1.727,NA,52,142.802
128,1.738,NA,52,144.54
129,1.471,NA,52,146.011
130,1.673,NA,52,147.684
131,1.942,NA,52,149.626
132,1.329,NA,52,150.955
133,1.189,56,56,152.144
134,2.187,NA,56,154.331
135,1.755,NA,56,156.086
136,1.929,NA,56,158.015
137,1.573,NA,56,159.588
138,2.155,NA,56,161.743
139,1.786,NA,56,163.529
140,2.048,62,62,165.577
141,2.201,NA,62,167.778
142,1.621,NA,62,169.399
143,1.57,NA,62,170.969
144,2.118,NA,62,173.087
145,1.774,NA,62,174.861
146,1.754,65,65,176.615
147,0.523,NA,65,177.138
148,1.228,NA,65,178.366
149,1.297,NA,65,179.663
150,2.192,NA,65,181.855
151,1.784,NA,65,183.639
152,2.492,NA,65,186.131
153,2.337,72,72,188.468
154,2.559,NA,72,191.027
155,2.566,NA,72,193.593
156,2.107,NA,72,195.7
157,2.363,NA,72,198.063
158,2.417,NA,72,200.48
159,1.831,NA,72,202.311
160,1.875,78,78,204.186
161,2.561,NA,78,206.747
162,2.185,NA,78,208.932
163,2.668,NA,78,211.6
164,2.098,NA,78,213.698
165,2.069,NA,78,215.767
166,2.202,NA,78,217.969
167,1.927,83,83,219.896
168,2.461,NA,83,222.357
169,2.969,NA,83,225.326
170,1.853,NA,83,227.179
171,3.288,NA,83,230.467
172,2.065,NA,83,232.532
173,3.301,NA,83,235.833
174,3.002,92,92,238.835
175,1.279,NA,92,240.114
176,2.403,NA,92,242.517
177,2.327,NA,92,244.844
178,2.374,NA,92,247.218
179,1.505,NA,92,248.723
180,2.245,NA,92,250.968
181,2.393,98,98,253.361
182,2.847,NA,98,256.208
183,2.62,NA,98,258.828
184,1.974,NA,98,260.802
185,3.13,NA,98,263.932
186,2.381,NA,98,266.313
187,3.323,NA,98,269.636
188,3.147,106,106,272.783
189,3.629,NA,106,276.412
190,2.92,NA,106,279.332
191,3.503,NA,106,282.835
192,3.37,NA,106,286.205
193,3.854,NA,106,290.059
194,3.271,NA,106,293.33
195,2.562,114,114,295.892
196,4.107,NA,114,299.999
197,2.247,NA,114,302.246
198,4.522,NA,114,306.768
199,2.958,NA,114,309.726
200,3.59,NA,114,313.316
201,3.1,NA,114,316.416
202,3.803,125,125,320.219
203,2.921,NA,125,323.14
204,2.739,NA,125,325.879
205,3.771,NA,125,329.65
206,3.067,NA,125,332.717
207,3.111,NA,125,335.828
208,4.124,NA,125,339.952
209,2.748,131,131,342.7
210,3.695,NA,131,346.395
211,1.459,NA,131,347.854
