Age,Feed Intake,Weight NA,Weight,CFI
67,1.943,22,22,1.943
68,2.416,NA,22,4.359
69,1.509,NA,22,5.868
70,2.123,NA,22,7.991
71,2.309,NA,22,10.3
72,1.887,NA,22,12.187
73,1.645,NA,22,13.832
74,2.088,25,25,15.92
75,1.863,NA,25,17.783
76,2.169,NA,25,19.952
77,1.927,NA,25,21.879
78,1.81,NA,25,23.689
79,2.465,NA,25,26.154
80,2.039,NA,25,28.193
81,2.012,30,30,30.205
82,2.304,NA,30,32.509
83,2.308,NA,30,34.817
84,2.335,NA,30,37.152
85,2.115,NA,30,39.267
86,2.636,NA,30,41.903
87,1.548,NA,30,43.451
88,2.363,33,33,45.814
89,2.221,NA,33,48.035
90,2.727,NA,33,50.762
91,2.762,NA,33,53.524
92,2.3,NA,33,55.824
93,2.422,NA,33,58.246
94,2.201,NA,33,60.447
95,2.35,38,38,62.797
96,2.605,NA,38,65.402
97,2.042,NA,38,67.444
98,2.352,NA,38,69.796
99,2.244,NA,38,72.04
100,2.555,NA,38,74.595
101,2.63,NA,38,77.225
102,2.395,38,38,79.62
103,2.337,NA,38,81.957
104,2.805,NA,38,84.762
105,2.363,NA,38,87.125
106,2.489,NA,38,89.614
107,1.984,NA,38,91.598
108,2.866,NA,38,94.464
109,2.211,40,40,96.675
110,2.385,NA,40,99.06
111,2.483,NA,40,101.543
112,2.663,NA,40,104.206
113,2.77,NA,40,106.976
114,2.679,NA,40,109.655
115,2.225,NA,40,111.88
116,1.633,44,44,113.513
117,1.279,NA,44,114.792
118,1.57,NA,44,116.362
119,1.552,NA,44,117.914
120,1.835,NA,44,119.749
121,2.155,NA,44,121.904
122,1.782,NA,44,123.686
123,1.92,48,48,125.606
124,2.113,NA,48,127.719
125,1.897,NA,48,129.616
126,1.756,NA,48,131.372
127,1.888,NA,48,133.26
128,1.492,NA,48,134.752
129,1.727,NA,48,136.479
130,2.074,NA,48,138.553
131,2.108,54,54,140.661
132,2.153,NA,54,142.814
133,1.738,NA,54,144.552
134,1.912,NA,54,146.464
135,1.254,NA,54,147.718
136,1.856,NA,54,149.574
137,1.942,NA,54,151.516
138,2.021,60,60,153.537
139,2.237,NA,60,155.774
140,1.904,NA,60,157.678
141,2.443,NA,60,160.121
142,1.58,NA,60,161.701
143,2.29,NA,60,163.991
144,2.025,63,63,166.016
145,2.133,NA,63,168.149
146,1.655,NA,63,169.804
147,2.352,NA,63,172.156
148,1.692,NA,63,173.848
149,1.689,NA,63,175.537
150,2.004,NA,63,177.541
151,1.493,68,68,179.034
152,2.558,NA,68,181.592
153,2.284,NA,68,183.876
154,1.876,NA,68,185.752
155,2.099,NA,68,187.851
156,1.752,NA,68,189.603
157,2.817,NA,68,192.42
158,1.652,73,73,194.072
159,2.615,NA,73,196.687
160,2.116,NA,73,198.803
161,1.693,NA,73,200.496
162,2.78,NA,73,203.276
163,3.067,NA,73,206.343
164,1.671,NA,73,208.014
165,2.335,78,78,210.349
166,1.799,NA,78,212.148
167,2.711,NA,78,214.859
168,2.512,NA,78,217.371
169,2.827,NA,78,220.198
170,2.578,NA,78,222.776
171,2.221,NA,78,224.997
172,2.804,86,86,227.801
173,1.741,NA,86,229.542
174,2.696,NA,86,232.238
175,2.064,NA,86,234.302
176,2.046,NA,86,236.348
177,1.253,NA,86,237.601
178,1.378,NA,86,238.979
179,2.002,88,88,240.981
180,2.058,NA,88,243.039
181,1.482,NA,88,244.521
182,2.11,NA,88,246.631
183,2.584,NA,88,249.215
184,3.252,NA,88,252.467
185,2.023,NA,88,254.49
186,0.402,93,93,254.892
187,1.421,NA,93,256.313
188,2.044,NA,93,258.357
189,1.9,NA,93,260.257
190,1.835,NA,93,262.092
191,2.26,NA,93,264.352
192,1.965,NA,93,266.317
193,2.043,96,96,268.36
194,2.033,NA,96,270.393
195,2.187,NA,96,272.58
196,1.667,NA,96,274.247
197,1.535,NA,96,275.782
198,1.57,NA,96,277.352
199,1.418,NA,96,278.77
200,1.213,97,97,279.983
201,1.014,NA,97,280.997
202,0.723,NA,97,281.72
203,0.963,NA,97,282.683
204,1.998,NA,97,284.681
205,2.244,NA,97,286.925
206,1.868,NA,97,288.793
207,0.238,101,101,289.031
208,2.435,NA,101,291.466
209,1.319,NA,101,292.785
